"study_id","site_id","core_id","year","month","day","latitude","longitude","position_accuracy","position_method","position_notes","salinity_class","salinity_method","vegetation_class","vegetation_method","vegetation_notes","inundation_class","inundation_method","core_length_flag","country","admin_division","habitat","stocks_qual_code","dates_qual_code","max_depth"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_8_3","2012",NA,NA,8.843105180664121,-83.5809125816422,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_8_2","2012",NA,NA,8.84333078217458,-83.58091087218106,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_8_1","2012",NA,NA,8.843577119998653,-83.58085477397474,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_7_5","2012",NA,NA,8.84365437566604,-83.57502168995529,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_7_4","2012",NA,NA,8.843847630464374,-83.57520129225902,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_7_3","2012",NA,NA,8.844120116838045,-83.57524052689475,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_7_2","2012",NA,NA,8.844259516281484,-83.57537237147132,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_7_1","2012",NA,NA,8.844405311905934,-83.57540338738514,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_6_5","2012",NA,NA,8.849994513223745,-83.58032467662504,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_6_4","2012",NA,NA,8.849883977993194,-83.58053181165381,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_6_3","2012",NA,NA,8.84971096237064,-83.58057864601139,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_6_2","2012",NA,NA,8.849433584232846,-83.58069260150882,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_6_1","2012",NA,NA,8.849216681308592,-83.58087203691002,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_5_1","2012",NA,NA,8.83903452309212,-83.5628989567528,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_5_2","2012",NA,NA,8.838744932126428,-83.5629253891326,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_5_5","2012",NA,NA,8.838085568384567,-83.56299762113586,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_5_4","2012",NA,NA,8.838316309936266,-83.56290671179939,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Guarumal","Boca Guarumal_5_3","2012",NA,NA,8.838546086832654,-83.56291916866067,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_2_5","2012",NA,NA,8.876303122767467,-83.55769281891192,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_2_4","2012",NA,NA,8.876345448888607,-83.5574711060852,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_2_3","2012",NA,NA,8.876381696152784,-83.55723212575805,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_2_2","2012",NA,NA,8.87641967949207,-83.55700850873679,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_2_1","2012",NA,NA,8.876558066857884,-83.55681522935544,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_3_5","2012",NA,NA,8.88579217997502,-83.56030837386301,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_3_4","2012",NA,NA,8.885721970784667,-83.56050312153015,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_3_3","2012",NA,NA,8.885642956774557,-83.56074597734437,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_3_2","2012",NA,NA,8.885560292260378,-83.56096037882166,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_3_1","2012",NA,NA,8.885489087330187,-83.5611544909863,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_8_5","2012",NA,NA,8.883279236171077,-83.57999278599631,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_8_4","2012",NA,NA,8.883517973599147,-83.58001351735464,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_8_3","2012",NA,NA,8.88377210586287,-83.57997440470433,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_8_2","2012",NA,NA,8.883991422107986,-83.57993214933857,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_8_1","2012",NA,NA,8.884124344956616,-83.58001473699173,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_7_5","2012",NA,NA,8.884392783120932,-83.57250501244765,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_7_4","2012",NA,NA,8.884549388982784,-83.57265867091596,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_7_3","2012",NA,NA,8.884794729352636,-83.5726811174159,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_7_2","2012",NA,NA,8.88497133010371,-83.57268700477782,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_7_1","2012",NA,NA,8.885216337507021,-83.57273454617584,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_2_4","2012",NA,NA,8.815324599063654,-83.54327634829396,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_2_5","2012",NA,NA,8.815542780727931,-83.54312217904894,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_2_3","2012",NA,NA,8.815149013636354,-83.5433622867262,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_2_2","2012",NA,NA,8.814981607240425,-83.54340758075082,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_2_1","2012",NA,NA,8.814673569235044,-83.54358085880587,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_3_1","2012",NA,NA,8.81438358811008,-83.55858416674619,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_3_2","2012",NA,NA,8.814516253784307,-83.55844410734885,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_3_3","2012",NA,NA,8.814649234224994,-83.55826414038259,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_3_4","2012",NA,NA,8.814786568923909,-83.55809616752323,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_3_5","2012",NA,NA,8.8148742084274,-83.5579597065628,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_4_1","2012",NA,NA,8.807313761069405,-83.56238492135131,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_4_2","2012",NA,NA,8.807134280931434,-83.5625473027333,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_4_3","2012",NA,NA,8.807006601571153,-83.56270016926295,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_4_4","2012",NA,NA,8.806870350201933,-83.56286868101228,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_4_5","2012",NA,NA,8.806783743838377,-83.56304004329013,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_5_1","2012",NA,NA,8.797091932443838,-83.5550052774862,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_5_2","2012",NA,NA,8.797132401847222,-83.55474198213494,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_5_3","2012",NA,NA,8.797105625935973,-83.55457966631401,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_5_4","2012",NA,NA,8.797084655804527,-83.55435680404248,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_5_5","2012",NA,NA,8.797045821344872,-83.5541672326337,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_6_1","2012",NA,NA,8.802248453105708,-83.5811211600672,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_6_2","2012",NA,NA,8.802306271921317,-83.5813188064862,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_6_3","2012",NA,NA,8.802374112867254,-83.58150326095507,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_6_4","2012",NA,NA,8.802534903108722,-83.58168333878405,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Sierpe","Boca Sierpe_6_5","2012",NA,NA,8.802626573484979,-83.5819114905081,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_5_5","2012",NA,NA,8.903329019127133,-83.56053505615542,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_5_4","2012",NA,NA,8.903101112428592,-83.5603444737076,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_5_3","2012",NA,NA,8.902909330174488,-83.56026968841518,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_5_2","2012",NA,NA,8.902670348446234,-83.56027206495592,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_5_1","2012",NA,NA,8.902423454318567,-83.56023571639525,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_6_5","2012",NA,NA,8.892196440629935,-83.574381640525,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_6_4","2012",NA,NA,8.892029021587742,-83.5742602686655,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_6_3","2012",NA,NA,8.891870424602576,-83.57410451757471,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_6_2","2012",NA,NA,8.891697804495584,-83.57394205446373,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_6_1","2012",NA,NA,8.891512637097378,-83.5737983362625,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_4_5","2012",NA,NA,8.89357754892092,-83.56297116981206,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_4_4","2012",NA,NA,8.89365660538488,-83.56307209270106,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_4_3","2012",NA,NA,8.893750054308114,-83.56318618257102,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_4_2","2012",NA,NA,8.893866158652385,-83.56334297998077,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Zacate","Boca Zacate_4_1","2012",NA,NA,8.894008276418745,-83.56355311914639,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Chica","Boca Chica_1_5","2012",NA,NA,8.93465599989384,-83.61193902764248,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Chica","Boca Chica_1_4","2012",NA,NA,8.934841081188088,-83.61218644726362,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Chica","Boca Chica_1_3","2012",NA,NA,8.934933398411735,-83.61235603398778,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Chica","Boca Chica_1_2","2012",NA,NA,8.935049879304737,-83.61254578281702,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Chica","Boca Chica_1_1","2012",NA,NA,8.935205173816025,-83.61275722424645,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Chica","Boca Chica_2_1","2012",NA,NA,8.925889800520741,-83.61293572533715,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Chica","Boca Chica_2_2","2012",NA,NA,8.925685592585705,-83.61298922684807,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Chica","Boca Chica_2_3","2012",NA,NA,8.925578940194008,-83.6130331686007,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Chica","Boca Chica_2_4","2012",NA,NA,8.925423154914457,-83.61304479011976,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Chica","Boca Chica_2_5","2012",NA,NA,8.925317550782024,-83.61322712979889,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Chica","Boca Chica_3_1","2012",NA,NA,8.933264650643073,-83.60547997983322,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Chica","Boca Chica_3_2","2012",NA,NA,8.93320544316833,-83.60532763764284,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Chica","Boca Chica_3_3","2012",NA,NA,8.933108900944335,-83.60518433813826,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Chica","Boca Chica_3_4","2012",NA,NA,8.93299723497168,-83.60493420729698,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Chica","Boca Chica_3_5","2012",NA,NA,8.93287939718748,-83.60474746437109,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Chica","Boca Chica_4_5","2012",NA,NA,8.933191030180224,-83.60836840399742,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
"Cifuentes_and_Torres_2024","Boca Chica","Boca Chica_4_4","2012",NA,NA,8.933063988014691,-83.60819776498252,NA,"handheld","Garmin Oregon 650",NA,NA,"forested",NA,NA,NA,NA,"core depth limited by length of corer","Costa Rica","Puntarenas","mangrove","C2",NA,"100"
